matchId,matchPeriod,teamId,playerId,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Saves,Clearances,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_set_play,Goals_from_penalty,Own_goals,Yellow_card,Red_card,Total_touches,PlayerType,PlayerName,MatchLabel
1694439,2H,3148,20612,22,19,3,1,1,1,1,0,1,1,1,0,3,1,2,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,22,DefenderSubstitute,ShkodranMustafi,"Germany - France, 0 - 2"
1694440,E1,9905,28907,9,8,1,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10,Defender,Rapha\u00ebl Adelino Jos\u00e9Guerreiro,"Portugal - France, 1 - 0 (E)"
1694395,2H,11944,20596,16,12,4,1,1,1,2,2,0,0,0,0,7,6,0,5,1,1,0,1,1,0,0,2,0,2,0,0,0,0,1,0,18,MidfielderSubstitute,Gabriel AndreiTorje,"Romania - Albania, 0 - 1"
1694402,2H,13869,99438,16,16,0,0,0,0,0,0,0,3,3,0,3,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,18,Defender,Micha\u0142Pazdan,"Poland - Northern Ireland, 1 - 0"
1694440,E2,4418,25381,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Goalkeeper,HugoLloris,"Portugal - France, 1 - 0 (E)"
1694420,2H,9109,65064,5,2,3,1,0,0,0,0,0,2,0,2,6,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,ForwardSubstitute,Rubin RafaelOkotie,"Austria - Hungary, 0 - 2"
1694421,1H,7839,54451,9,6,3,0,0,0,4,2,2,2,1,1,8,2,4,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,12,Defender,Birkir M\u00e1rS\u00e6varsson,"Portugal - Iceland, 1 - 1"
1694432,2H,3757,25439,9,8,1,0,0,0,0,0,0,0,0,0,6,2,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,10,MidfielderSubstitute,ThiagoMotta,"Italy - Spain, 2 - 0"
1694432,2H,1598,3447,29,22,7,4,1,1,2,1,1,0,0,0,7,4,3,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,32,Defender,Juan FranciscoTorres Bel\u00e9n,"Italy - Spain, 2 - 0"
1694391,1H,6697,49876,47,41,6,0,0,0,6,4,2,3,2,1,11,4,0,0,0,0,0,0,3,0,3,1,0,1,0,0,0,0,0,0,51,Midfielder,GranitXhaka,"Albania - Switzerland, 0 - 1"
1694391,2H,6697,14922,18,15,3,1,0,0,0,0,0,1,1,0,11,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,Defender,Ricardo Iv\u00e1nRodr\u00edguez Araya,"Albania - Switzerland, 0 - 1"
1694401,1H,14358,101568,16,12,4,1,0,0,0,0,0,3,0,3,9,3,5,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,19,Midfielder,RomanShirokov,"Russia - Wales, 0 - 3"
